,Treatment,membership,percentage
0,LPS/Nigericin,-1,17.80243000528262
1,LPS/Nigericin,1,34.91811938721606
2,LPS/Nigericin,2,18.225039619651348
3,LPS/Nigericin,3,20.496566296883252
4,LPS/Nigericin,4,8.55784469096672
5,LPS/Unactivated,-1,17.206982543640898
6,LPS/Unactivated,1,4.239401496259352
7,LPS/Unactivated,2,34.206151288445554
8,LPS/Unactivated,3,6.608478802992519
9,LPS/Unactivated,4,37.73898586866168
10,Unprimed/Nigericin,-1,17.972602739726025
11,Unprimed/Nigericin,1,24.876712328767123
12,Unprimed/Nigericin,2,23.671232876712327
13,Unprimed/Nigericin,3,26.027397260273972
14,Unprimed/Nigericin,4,7.4520547945205475
15,Unprimed/Unactivated,-1,17.75700934579439
16,Unprimed/Unactivated,1,7.149532710280374
17,Unprimed/Unactivated,2,43.50467289719626
18,Unprimed/Unactivated,3,7.05607476635514
19,Unprimed/Unactivated,4,24.53271028037383
