,Treatment,membership,percentage
0,LPS/Nigericin,-1,13.230921704658078
1,LPS/Nigericin,1,15.262636273538158
2,LPS/Nigericin,2,24.33102081268583
3,LPS/Nigericin,3,23.538156590683844
4,LPS/Nigericin,4,23.63726461843409
5,LPS/Unactivated,-1,15.480810694264768
6,LPS/Unactivated,1,53.6869340232859
7,LPS/Unactivated,2,18.36998706338939
8,LPS/Unactivated,3,1.6386373436826216
9,LPS/Unactivated,4,10.823630875377317
10,Unprimed/Nigericin,-1,12.931885488647582
11,Unprimed/Nigericin,1,16.781836130306022
12,Unprimed/Nigericin,2,38.84501480750247
13,Unprimed/Nigericin,3,10.463968410661401
14,Unprimed/Nigericin,4,20.977295162882527
15,Unprimed/Unactivated,-1,14.25800193986421
16,Unprimed/Unactivated,1,41.41610087293889
17,Unprimed/Unactivated,2,28.07953443258972
18,Unprimed/Unactivated,3,2.6188166828322017
19,Unprimed/Unactivated,4,13.627546071774976
