,Treatment,membership,percentage
0,LPS/Nigericin,-1,41.13443501563198
1,LPS/Nigericin,1,0.13398838767306834
2,LPS/Nigericin,10,0.7146047342563644
3,LPS/Nigericin,11,2.456453774006253
4,LPS/Nigericin,12,4.912907548012506
5,LPS/Nigericin,13,2.590442161679321
6,LPS/Nigericin,14,3.126395712371594
7,LPS/Nigericin,2,1.6078606520768202
8,LPS/Nigericin,3,8.485931219294327
9,LPS/Nigericin,4,0.9825815096025011
10,LPS/Nigericin,5,9.33452434122376
11,LPS/Nigericin,6,8.396605627512283
12,LPS/Nigericin,7,7.458686913800803
13,LPS/Nigericin,8,2.0098258150960246
14,LPS/Nigericin,9,6.654756587762393
15,LPS/Unactivated,-1,45.94594594594595
16,LPS/Unactivated,1,0.0397456279809221
17,LPS/Unactivated,10,14.348171701112877
18,LPS/Unactivated,11,8.744038155802862
19,LPS/Unactivated,12,2.901430842607313
20,LPS/Unactivated,13,6.717011128775835
21,LPS/Unactivated,14,0.5961844197138315
22,LPS/Unactivated,2,2.46422893481717
23,LPS/Unactivated,3,0.5166931637519873
24,LPS/Unactivated,4,0.9538950715421303
25,LPS/Unactivated,5,1.550079491255962
26,LPS/Unactivated,6,1.3513513513513513
27,LPS/Unactivated,7,2.662957074721781
28,LPS/Unactivated,8,1.7090620031796504
29,LPS/Unactivated,9,9.499205087440382
30,Unprimed/Nigericin,-1,43.7885462555066
31,Unprimed/Nigericin,1,0.04405286343612335
32,Unprimed/Nigericin,10,1.5418502202643172
33,Unprimed/Nigericin,11,3.5682819383259914
34,Unprimed/Nigericin,12,5.066079295154185
35,Unprimed/Nigericin,13,3.1718061674008813
36,Unprimed/Nigericin,14,0.9691629955947136
37,Unprimed/Nigericin,2,3.3920704845814975
38,Unprimed/Nigericin,3,3.5682819383259914
39,Unprimed/Nigericin,4,1.277533039647577
40,Unprimed/Nigericin,5,7.665198237885463
41,Unprimed/Nigericin,6,5.682819383259912
42,Unprimed/Nigericin,7,11.277533039647578
43,Unprimed/Nigericin,8,2.026431718061674
44,Unprimed/Nigericin,9,6.960352422907488
45,Unprimed/Unactivated,-1,43.59743040685225
46,Unprimed/Unactivated,1,0.0
47,Unprimed/Unactivated,10,9.67880085653105
48,Unprimed/Unactivated,11,9.079229122055676
49,Unprimed/Unactivated,12,2.3126338329764455
50,Unprimed/Unactivated,13,11.477516059957175
51,Unprimed/Unactivated,14,0.7708779443254818
52,Unprimed/Unactivated,2,2.8265524625267666
53,Unprimed/Unactivated,3,0.8993576017130621
54,Unprimed/Unactivated,4,0.8137044967880086
55,Unprimed/Unactivated,5,2.441113490364026
56,Unprimed/Unactivated,6,1.284796573875803
57,Unprimed/Unactivated,7,1.670235546038544
58,Unprimed/Unactivated,8,2.226980728051392
59,Unprimed/Unactivated,9,10.920770877944326
